STID,name,state,network,network_long,Wind Sensor Height (m),lat,lon,Start Time,End Time,obs_time,obs_time_years
NMC04,Leyendecker PSRC II,NM,NMCC,New Mexico Climate Center,3.0,32.20026,-106.74300,2014-04-03T00:00:00Z,2025-04-04T21:55:00Z,4019 days 21:55:00,11.005922503612442
LSLN5,Los Lunas ASC,NM,NMCC,New Mexico Climate Center,3.0,34.76730,-106.76108,2014-04-03T00:00:00Z,2025-04-04T21:55:00Z,4019 days 21:55:00,11.005922503612442
MRMN5,JTH Forestry Research Center,NM,NMCC,New Mexico Climate Center,3.0,35.97538,-105.34750,2014-04-03T00:00:00Z,2025-04-04T21:55:00Z,4019 days 21:55:00,11.005922503612442
NMC07,NMSU Main Campus,NM,NMCC,New Mexico Climate Center,3.0,32.28221,-106.75979,2014-04-03T00:00:00Z,2025-04-04T21:55:00Z,4019 days 21:55:00,11.005922503612442
TSCN5,Tucumcari ASC,NM,NMCC,New Mexico Climate Center,3.0,35.20026,-103.68692,2014-04-03T00:00:00Z,2025-04-04T21:50:00Z,4019 days 21:50:00,11.005912997186098
CASN5,Clovis ASC,NM,NMCC,New Mexico Climate Center,3.0,34.59933,-103.21528,2017-03-31T01:07:00Z,2025-04-04T09:20:00Z,2926 days 08:13:00,8.011888736786068
UCC36,Bloomfield,NM,UCC-AGNET,Utah Climate Center AgWeather Network,3.0,36.69091,-107.90800,2017-09-12T16:04:00Z,2025-04-04T22:00:00Z,2761 days 05:56:00,7.559882880827439
CRMN5,Corona Range LRC,NM,NMCC,New Mexico Climate Center,3.0,34.2707,-105.4351,2017-09-27T20:18:00Z,2025-04-04T21:55:00Z,2746 days 01:37:00,7.518322686135828
NMC21,Lordsburg Playa,NM,NMCC,New Mexico Climate Center,3.0,32.25283,-108.9531,2021-04-05T22:10:00Z,2025-04-04T20:55:00Z,1459 days 22:45:00,3.9971195528177046
ASCN5,Alcalde ASC,NM,NMCC,New Mexico Climate Center,3.0,36.09067,-106.05654,2021-07-01T17:38:00Z,2025-04-04T21:15:00Z,1373 days 03:37:00,3.759481709635714
CLRN5,Clayton LRC,NM,NMCC,New Mexico Climate Center,3.0,36.46775,-103.08827,2021-07-01T16:38:00Z,2025-04-04T21:45:00Z,1373 days 05:07:00,3.7596528253099093
NMC24,Chihuahuan Desert Rangeland RC,NM,NMCC,New Mexico Climate Center,3.0,32.53024,-106.80519,2021-10-28T19:22:00Z,2025-04-04T21:30:00Z,1254 days 02:08:00,3.4335082515780666
DEXN5,Dexter,NM,NMCC,New Mexico Climate Center,3.0,33.24022,-104.44456,2022-11-17T19:09:00Z,2025-04-04T21:30:00Z,869 days 02:21:00,2.3794604152407026
STVN5,St. Vrain,NM,NMCC,New Mexico Climate Center,3.0,34.44201,-103.47730,2022-11-17T19:09:00Z,2025-04-04T21:30:00Z,869 days 02:21:00,2.3794604152407026
NMC28,CDRRC Camp Location,NM,NMCC,New Mexico Climate Center,3.0,32.57807,-106.86878,2022-11-17T19:09:00Z,2025-04-04T21:30:00Z,869 days 02:21:00,2.3794604152407026
VLSN5,Valencia SWCD,NM,NMCC,New Mexico Climate Center,3.0,34.66789,-106.73605,2022-11-17T19:09:00Z,2025-04-04T21:45:00Z,869 days 02:36:00,2.379488934519735
FTSN5,East Fort Sumner,NM,NMCC,New Mexico Climate Center,3.0,34.47183,-104.21104,2022-11-17T19:09:00Z,2025-04-04T21:35:00Z,869 days 02:26:00,2.379469921667047
SFTN5,South Ft Sumner,NM,NMCC,New Mexico Climate Center,3.0,34.35796,-104.17408,2022-11-17T19:09:00Z,2025-03-20T11:00:00Z,853 days 15:51:00,2.337194843714351
NMC34,Carlsbad EMRC,NM,NMCC,New Mexico Climate Center,3.0,32.43847,-104.26604,2022-11-17T19:09:00Z,2025-04-04T21:45:00Z,869 days 02:36:00,2.379488934519735
NMC35,Loving HS,NM,NMCC,New Mexico Climate Center,3.0,32.27641,-104.09931,2022-11-17T19:09:00Z,2025-04-04T21:25:00Z,869 days 02:16:00,2.3794509088143587
NMC36,Malaga,NM,NMCC,New Mexico Climate Center,3.0,32.23628,-104.06245,2022-11-17T19:09:00Z,2025-04-04T21:25:00Z,869 days 02:16:00,2.3794509088143587
NMC37,Seven Rivers,NM,NMCC,New Mexico Climate Center,3.0,32.66337,-104.35805,2022-11-17T19:09:00Z,2025-04-04T21:25:00Z,869 days 02:16:00,2.3794509088143587
CELN5,Puerto de Luna 3.3E,NM,NMCC,New Mexico Climate Center,3.0,34.83256,-104.56494,2022-11-17T19:09:00Z,2025-04-04T21:25:00Z,869 days 02:16:00,2.3794509088143587
NEWN5,Newkirk,NM,NMCC,New Mexico Climate Center,3.0,35.07121,-104.26712,2022-11-17T19:09:00Z,2025-04-04T21:30:00Z,869 days 02:21:00,2.3794604152407026
SVAN5,SE Vaughn,NM,NMCC,New Mexico Climate Center,3.0,34.47612,-105.08375,2022-11-17T19:09:00Z,2025-04-04T21:45:00Z,869 days 02:36:00,2.379488934519735
TCCN5,Thompson Cattle,NM,NMCC,New Mexico Climate Center,3.0,34.98406,-104.99330,2022-11-17T19:09:00Z,2025-04-04T21:45:00Z,869 days 02:36:00,2.379488934519735
NMC42,Jal Country Club,NM,NMCC,New Mexico Climate Center,3.0,32.12486,-103.19443,2022-11-17T21:15:00Z,2025-04-04T21:25:00Z,869 days 00:10:00,2.3792113468704845
ETUN5,Tucumcari,NM,NMCC,New Mexico Climate Center,3.0,35.18154,-103.63191,2022-11-17T21:15:00Z,2025-04-04T21:45:00Z,869 days 00:30:00,2.3792493725758614
LGAN5,Logan,NM,NMCC,New Mexico Climate Center,3.0,35.36344,-103.46156,2022-11-17T21:15:00Z,2025-04-04T21:45:00Z,869 days 00:30:00,2.3792493725758614
ERAN5,East Rio Arriba SWCD,NM,NMCC,New Mexico Climate Center,3.0,36.03810,-106.09820,2022-12-05T15:28:00Z,2025-04-04T21:45:00Z,851 days 06:17:00,2.3306278043957716
NMC46,T or C Golf Course,NM,NMCC,New Mexico Climate Center,3.0,33.14565,-107.25512,2022-12-05T15:28:00Z,2025-04-04T20:55:00Z,851 days 05:27:00,2.3305327401323295
TSWN5,Taos SWCD,NM,NMCC,New Mexico Climate Center,3.0,36.37476,-105.60241,2022-12-05T15:28:00Z,2025-04-04T21:15:00Z,851 days 05:47:00,2.3305707658377064
AMSN5,Amistad,NM,NMCC,New Mexico Climate Center,3.0,35.85589,-103.26924,2022-12-05T15:28:00Z,2025-04-04T21:25:00Z,851 days 05:57:00,2.3305897786903946
SEDN5,Sedan,NM,NMCC,New Mexico Climate Center,3.0,36.14984,-103.13148,2022-12-05T15:28:00Z,2025-04-04T21:55:00Z,851 days 06:27:00,2.33064681724846
SWCN5,SW Clayton,NM,NMCC,New Mexico Climate Center,3.0,36.26751,-103.31838,2022-12-05T15:28:00Z,2025-04-04T21:25:00Z,851 days 05:57:00,2.3305897786903946
PRTN5,Roosevelt SWCD,NM,NMCC,New Mexico Climate Center,3.0,34.21088,-103.31873,2022-12-05T20:15:00Z,2025-04-04T21:55:00Z,851 days 01:40:00,2.3301011483763023
AECN5,San Juan SWCD,NM,NMCC,New Mexico Climate Center,3.0,36.83711,-108.01729,2022-12-05T20:15:00Z,2025-04-04T21:25:00Z,851 days 01:10:00,2.330044109818237
CLEN5,Corrales,NM,NMCC,New Mexico Climate Center,3.0,35.22942,-106.60324,2022-12-05T20:15:00Z,2025-04-04T21:45:00Z,851 days 01:30:00,2.330082135523614
NMC57,Lovington Golf Course,NM,NMCC,New Mexico Climate Center,3.0,32.93322,-103.32020,2023-05-04T17:43:00Z,2025-04-04T21:50:00Z,701 days 04:07:00,1.919703019241007
NMC58,Claunch,NM,NMCC,New Mexico Climate Center,3.0,34.14333,-105.95111,2023-05-04T17:43:00Z,2025-04-04T21:55:00Z,701 days 04:12:00,1.919712525667351
NMC59,Aztec,NM,NMCC,New Mexico Climate Center,3.0,36.83247,-107.98623,2023-05-10T21:18:00Z,2025-04-04T21:55:00Z,695 days 00:37:00,1.9028766446117575
NMC60,North Roswell,NM,NMCC,New Mexico Climate Center,3.0,33.77410,-104.48970,2023-06-11T21:00:00Z,2025-04-04T21:55:00Z,663 days 00:55:00,1.8152996425583694
NMC61,Hope 4.9W,NM,NMCC,New Mexico Climate Center,3.0,32.82273,-104.81458,2023-07-14T19:08:00Z,2025-04-04T21:50:00Z,630 days 02:42:00,1.725154004106776
NMC62,Nogal,NM,NMCC,New Mexico Climate Center,3.0,33.54367,-105.67500,2023-08-18T08:30:00Z,2025-04-04T21:45:00Z,595 days 13:15:00,1.6305327401323295
NMC63,House,NM,NMCC,New Mexico Climate Center,3.0,34.64711,-103.90806,2023-08-17T15:00:00Z,2025-04-04T21:55:00Z,596 days 06:55:00,1.6325481025173016
NMC64,Yeso,NM,NMCC,New Mexico Climate Center,3.0,34.23380,-104.45390,2023-08-23T21:00:00Z,2025-04-04T21:55:00Z,590 days 00:55:00,1.615436535097726
NMC65,Fort Sumner Cornerstone Ranch,NM,NMCC,New Mexico Climate Center,3.0,34.51492,-104.22289,2023-08-23T21:00:00Z,2025-04-04T21:55:00Z,590 days 00:55:00,1.615436535097726
NMC66,Dora,NM,NMCC,New Mexico Climate Center,3.0,33.90198,-103.33676,2023-08-23T21:00:00Z,2025-04-04T21:55:00Z,590 days 00:55:00,1.615436535097726
